Acronym,Translation
ttytt,to tell you the truth
wrtg,writing
kss,kiss
sexx0rz,sex
beotch,bitch
lobl,laugh out bloody loud
scrilla,money
rtfa,read the fucking article
rtfm,read the fucking manual
rtfu,ready the fuck up
tmwfi,take my word for it
rtfp,read the fucking post
rtfq,read the fucking question
rtfs,read the fucking summary
lmbfwao,laughing my big fat white ass off
wutb,what are you talking about
gtty,good talking to you
wtfuah,what the fuck you asshole
wtfrud,what the fuck are you doing?
shtf,shit hits the fan
wylym,watch your language young man
wtfruo,what the fuck are you on?
apod,another point of discussion
apoc,apocalypse
soafb,son of a fucking bitch
wgasa,who gives a shit anyway
w/end,weekend
vry,very
whtvr,whatever
legit,legitimate
fapping,masterbating
wdytia,who do you think i am?
wtbd,what's the big deal
wuza,what's up
fukin,fucking
tinla,this is not legal advice
rlze,realize
haxors,hackers
ianal,i am not a lawyer
rumf,are you male or female
mudda,mother
aslrp,"age, sex, location, race, picture"
ywapom,you want a piece of me?
hfsbm,holy fucking shit batman
ysm,you scare me
ysa,you suck ass
homey,friend
roflastc,rolling on floor laughing and scaring the cat
ysf,you stupid fuck
ar,are
yss,you stupid shit
coz,because
k3wl,cool
brfb,be right fucking back
oink,oh i never knew
ilu,i love you
frnds,friends
jooce,juice
amiic,ask me if i care
iow,in other words
iou,i owe you
nywy,anyway
fucken,fucking
ioh,i'm out of here
tisnf,that is so not fair
wyw,what you want
wys,wow you're stupid
wyp,what's your problem?
wthay,who the hell are you
wyg,will you go
wyd,what are you doing
wyc,will you come
wyn,what's your name
wym,what you mean?
w.o.w,world of warcraft
damhikijk,don't ask me how i know - i just know
wmgl,wish me good luck
hmus,hit me up sometime
gma,grandma
ghey,gay
hmul,hit me up later
adn,any day now
qpwd,quit posting while drunk
ghei,gay
gmv,got my vote
rehi,hello again
fyb,fuck you bitch
thankies,thank you
fya,for your attention
icic,i see. i see
fye,for your entertainment
fyk,for your knowledge
fyi,for your information
fyl,for your love
fym,fuck your mom
lm4aq,let's meet for a quickie.
fyp,fixed your post
nfd,no fucking deal
sowwy,sorry
sofs,same old fucking shit
aiamu,and i'm a monkey's uncle
njp,nice job partner
hait,hate
twfaf,thats what friends are for
tmr,tomorrow
tms,that makes sense
tmw,too much work
woum,what's on your mind
tmz,tomorrow
tma,take my advice
nft,no further text
esc,escape
tmi,too much information
tmk,to my knowledge
tml,tell me later
tmo,take me out
wwycm,when will you call me
ilysmm,i love you so much more
oibmpc,oops i broke my computer
lawled,laughed out loud
dcw,doing class work
grrl,girl
tomm,tommorow
bffaw,best friends for a while
tsig,that site is gay
chronic,marijuana
bffae,best friends forever and ever
bffaa,best friends forever and always
gtha,go the hell away
gthb,go to hell bitch
stsp,same time same place
gtho,get the hell out
gl&hf,good luck and have fun
gthu,grow the heck up
rodger,affirmative
kthxmn,ok thanks man
bur,pussy
2b4u,too bad for you
w\e,whatever
ygtbsm,you've got to be shitting me
n/c,no comment
kmswl,killing myself with laughter
yapa,yet another pointless acronym
byob,bring your own beer
byoc,bring our own computer
byoh,bring your own high
tbvh,to be very honest
pic,picture
pix,pictures
pir,parents in room
piw,parent is watching
g@y,gay
tyfn,thank you for nothing
oaw,on a website
oar,on a roll
igalboc,i've got a lovely bunch of cocnuts
goia,get over it already
eedyat,idiot
goin,going
lolio,laugh out loud i own
lolin,laughing out loud
4u,for you
4q,fuck you
4n,phone
4m,form
nws,not work safe
nwy,no way
gthyfah,go to hell you fucking asshole
ukwim,you know what i mean
obtw,"oh, by the way"
lshrn,laughing so hard right now
nwb,a new person
nwj,no way jose
ttyo,talk to you online
ttyn,talk to you never
ttyl,talk to you later
lltnt,live like theres no tomorrow
ttyw,talk to you whenever
iaspfm,"i am sorry please forgive
me"
ttyt,talk to you tomorrow
ttys,talk to you soon
mwf,married white female
wybts,were you born this sexy
abft,about fucking time
@,at
mnt,more next time
mw3,modern warfare 3
mw2,modern warfare 2
wfm,works for me
teotwawki,the end of the world as we know it
fubalm,fucked up beyond all local maintenance
snafu,situation normal all fucked up
gfar2cu,go find a rock to crawl under
irhy,i really hate you
lrqtms,laughing really quietly to myself
kul,cool
4hoa,four horsemen of the apocalypse
glty,good luck this year
wtfdik,what the fuck do i know
w8ter,waiter
patd,panic at the disco
wdf,worth dying for
4king,fucking
4head,forehead
omgicfbi,oh my god i can't fucking believe it
tioli,take it or leave it
ily4e,i love you forever
m$,microsoft
shyat,shit
phreaker,phone hacker
m2,me too
soobs,saggy boobs
m9,mine
m8,friend
pearoast,repost
musm,miss you so much
comnt,comment
less than three,love
r0x0rz,rocks
tg,thank god
ltip,laughting until i puke
mf,motherfucker
mb,my bad
aiui,as i understand it
mk,mmm....ok
mu,miss you
dafs,do a fucking search
mohaa,medal of honor allied assult
ttfn,ta ta for now
f#cking,fucking
ruok,are you ok?
ianabs,i am not a brain surgeon
cmplte,complete
h82sit,hate to say it
yqw,you're quite welcome
imnl,i'm not laughing
wtcf,what the crazy fuck
ima,i am a
clm,cool like me
imb,i am back
imh,i am here
imm,instant message me
imo,in my opinion
ilyaas,i love you as a sister
404,clueless
bf4l,best friends for life
clt,cool like that
fofl,fall on the floor laughing
bf4e,best friends for ever
twat,vagina
hyg,here you go
uradrk,you're a dork
sl^t,shit
srly,seriously
gol,giggle out loud
goi,get over it
gok,god only knows
kuwl,cool
goc,get on camera
nite,night
gow,gears of war
fren,friend
ayok,are you okay
syotbf,see you on the battlefield
pmsl,piss my self laughing
w.e.,whatever
siuya, shove it up your ass
wcutm,what can you tell me
shmily,see how much i love you
2k4,2004
ih8mls,i hate my little sister
wtfiuwy,what the fuck is up with you
enit,isn't  it
mbhsm,my boobs hurt so much
dycotfc,do you cyber on the first chat
kyko,keep your knickers on
sroucks,"that's cool, but it still sucks"
tos,terms of service
nvmd,nevermind
tou,thinking of you
tok,that's ok
toh,typing one handed
tob,teacher over back
kewl,cool
pr0nz,porn
gtfbtw,get the fuck back to work
lozer,loser
prego,pregnant
4getu,forget you
eq2,everquest2
dfwmt,don't fucking waste my time
nofi,no flame intended
lbr,little boy's room
fcking,fucking
f'n,fucking
bibifn,bye bye for now
adhd,attention deficit hyperactivity disorder
lbh,let's be honest
lbo,laughing butt off
tgtbt,too good to be true
snog,kiss
shizz,shit
bsx,bisexual
ftlt,for the last time
ra2,red alert 2 (game)
ra3,red alert 3 (game)
xb36t,xbox 360
lyls,love you lots
seks,sex
dgypiab,don't get your panties in a bunch
sagn,spelling and grammar nazi
popo,police
dupe,duplicate
lawl'd,laughed out loud
liita,love is in the air
fukkin,fucking
iwtly,i want to love you
dynk,do you not know
occ,occupation
ocd,obsessive compulsive disorder
tbhimo,to be honest in my opinion
walstib,what a long strange trip it's been
alryt,alright
vlog,video log
ih8u,i hate you
ih8p,i hate parents
ih8y,i hate you
wygam,when you get a minute
ayst,are you still there
wygac,when you get a chance
btch,bitch
btcn,better than chuck norris
nub,inexperienced person
aysm,are you shitting me?
c'mon,come on
gdih,go die in hell
watevs,whatever
iirc,if i recall correctly
damhikt,don't ask me how i know this
whats ^,whats up
2morro,tomorrow
mul,miss you lots
jfwy,just fucking with you
newb,someone who is new
umfriend,sexual partner
fugly,fucking ugly
lawlz,laughing out loud with a southern drawl
lawls,laughing out loud with a southern drawl
bbifs,be back in a few seconds
gigig,get it got it good
gga,good game all
gamez,illegally obtained games
wtfigo,what the fuck is going on
kwl,cool
p3n0r,penis
sploits,exploits
gtfon,get the fuck out noob
gtfoi,get the fuck over it
sploitz,exploits
jtumltk,just thought you might like to know
otfl,on the floor laughing
otfp,on the fucking phone
otft,over the fucking top
lofi,uncool
lofl,laugh out fucking loud
wfh,working from home
sosdd,"same old shit, different day"
gyal,girl
pr0n,porn
n,and
wtfayta,what the fuck are you talking about?
biznitch,bitch
rtbq,read the blinking question
tmsaisti,that's my story and i'm sticking to it.
swalk,sealed with a loving kiss
wanking,masturbating
ccna,cisco certified network associate
shawty,girl
evry1,every one
wdywtd,what do you want to do
joor,your
miltf,mom i'd like to fuck
jooc,just out of curiosity
dadt,don't ask. don't tell.
icbyst,i cant believe you said that
w.e,whatever
psbms,parent standing by my side
elo,hello
td2m,talk dirty to me
5o,police
5n,fine
yws,you want sex
cexy,sexy
any1,anyone
zoot,woohoo
tk2ul,talk to you later
cnt,can't
icb,i can't believe
nwtf,now what the fuck
brbs,be right back soon
brbl,be right back later
cnc,command and conquer
brbf,be right back fucker
icr,i can't rememer
icp,insane clown posse
icw,i care why?
icu,i see you
hsd,high school dropout
bfam,brother from another mother
hsr,homestar runner
hss,horse shit and splinters
roflao,rolling on the floor laughing my ass off
cbfed,can't be fucked
ptfo,passed the fuck out
ppl,people
ferr,for
giv,give
gis,google image search
gir,google it retard
lolocost,laugh out loud
cwot,complete waste of time
fuh-q,fuck you
rele,really
inmp,it's not my problem
frgt,forgot
rofflecopters,rolling on the floor with laughter
rb@u,right back at you
n2br,not to be rude
lq2m,laughing quietly to myself
attotp,at the time of this post
n2bb,nice to be back
attn,attention
lgbnaf,lets get butt naked and fuck
gtgtpirio,got to go the price is right is on
h+k,hugs and kisses
secksy,sexy
t2ul,talk to you later
nnr,no not really
nh,nice hand
ni,no idea
nj,nice job
idgas,i don't give a shit
tix,tickets
nm,not much
nn,good night
na,not applicable
nb,not bad
nc,not cool
nd,and
ne,any
nf,not funny
ng,nice game
til,until
tswc,tell someone who cares
np,no problem
nq,thank you
nr, no reserve
ns,nice
nt,nice try
nu,new
nv,envy
nw,no way
wombat,"waste of money, brains, and time"
wtfiwwy,what the fuck is wrong with you
wtfiwwu,what the fuck is wrong with you
cmomc,call me on my cell
lylaba,love you like a brother always
jebus,jesus
wuzup,what's up
nthin,nothing
n1,nice one
n2,into
roi,return on investment
roj,affirmative
re/rehi,hello again
rol,rolling over laugihng
smeg,fuck
roflmaoapimp,rolling on the floor laughing my ass off and peeing in my pants
rox,rocks
ibbl,i'll be back later
llc,laughing like crazy
ror,raughing out roud
llf,laugh like fuck
proxie,proxy
knackered,drunk
cyas,see you soon
ursdf,you are so damn fine
bykt,but you knew that
cood,could
cskr,cock sucker
cyal,see you later
enof,enough
peeps,people
cmptr,computer
yall,you all
pmp,pissing my pants
omgwtfhax,"oh my god what the fuck, hacks!"
a.i.m.,aol instant messanger
pmg,oh my god
bakk,back
pml,pissing myself laughing
pmo,pissing me off
feat,featuring
awsic,and why should i care
rotflmaofaktd,rolling on the floor laughing my ass off farted and killed the dog
watev,whatever
fmah,fuck my ass hole
fmao,freezing my ass of
watcha,what are you
fsho,for sure
jsing,just saying
ktnx,okay and thanks
def,definitely
msv,microsoft vista
lhsrn,let's have sex right now
msm,main stream media
msh,me so horny
msg,message
msf,male seeking female
luvv,love
ihysmrn,i hate you so much right now
hngry,hungry
gu2i,get used to it
odtaa,one damn thing after another
kys,kill yourself
p.o.b.,parent over back
swmbo,she who must be obeyed
aqap,as quick as possible
dywtmusw,do you want to meet up some where
j00r,your
ilybtid,i love you but then i don't
4tw,for the win
w8t4me,wait for me
lylno,love you like no other
ocgg,"oh crap, gotta go"
obvi,obviously
fckd,fucked
fcku,fuck you
ymmv,your mileage may vary
tba,to be anounced
gwijd,guess what i just did
dillic,do i look like i care
4give,forgive
ymmd,you made my day
gta,grand theft auto
gtb,go to bed
gtf,get the fuck
gtg,got to go
gth,go to hell
gtk,good to know
gtm,giggling to myself
gtn,getting
h83r,hater
gtp,got to pee
gtr,got to run
gts,going to school
tmbi,tell me about it
ltms,laughing to my self
ltmq,laugh to myself quietly
mlia,my life is amazing
namh,not at my house
terd,shit
rmso,rock my socks off
ussr,the union of soviet socialist republics
cuzz,because
btias,be there in a second
skhool,school
som'm,something
motarded,more retarded
bubi,bye
fwob,friends with occasional benefits
yup,yes
a&f,always and forever
yur,your
yuo,you
yua,you ugly ass
301ing,referring traffic to another site
wtgp,want to go private
wutevr,what ever
imya,i miss you already
acct,account
rawks,rocks
iai,i am interested
iah,i am horny
iag,it's all good
iab,i am bored
reppin,representing
h8t0r,hater
iaw,in another window
iap,i am pissed
hud,heads up display
imy2,i miss you to
hun,honey
gafl,get a fucking life
dillifc,do i look like i fucking care
gim,google instant messanger
lmao,laughing my ass off
t3h,the
nn2r,no need to respond
bsxc,be sexy
r,are
lmap,leave me alone please
hfs,holy fucking shit!
j/p,just playing
prd,period
j/s,just saying
j/t,just talking
j/w,just wondering
anl,all night long
pro,professional
prn,porn
fri.,friday
prw,parents are watching
j/c,just curious
prp,please reply
j/j,just joking
j/k,just kidding
hmoj,holy mother of jesus
j/o,jackoff
gky,go kill yourself
gwork,good work
uya,up your ass
pr0,professional
fck,fuck
gdmfpos,god damn mother fucking piece of shit
lates,later
baggkyko,"be a good girl, keep your knickers on"
idgaff,i don't give a flying fuck
tkd,tae kwon do
jizz,semen
gsta,gangster
tku,thank you
idgafs,i don't give a fucking shit
nld,nice lay down
woot,woohoo
wfyb,whatever floats your boat
oyid,oh yes i did
tyfyc,thank you for your comment
dyt,don't you think
itb,in the butt
dyw,don't you worry
ssl,secure sockets layer
tyfyt,thank you for your time
dya,do you
g2g4aw,got to go for a while
gfadh,go fuck a dead horse
broseph,brother
omgyg2bk,oh my god you got to be kidding
rmr,remember
ttyab,talk to you after breakfast
ttyad,talk to you after dinner
ttyal,talk to you after lunch
ttyas,talk to you at school
lnk,link
rme,rolling my eyes
dtrt,do the right thing
ofcol,oh for crying out loud
wayt,what are you thinking?
wayh,why are you here
bleme,blog meme
wayn,where are you now
wayd,what are you doing
idkyb,i don't know why but
comp,computer
ple's,please
supa,super
byes,bye bye
wiyp,what is your problem
whyb,where have you been
pov,point of view
pow,prisoner of war
pos,parent over shoulder
poq,piss off quick
poo,poop
pol,parent over looking
xover,crossover
lf2m,looking for 2 more
poi,point of interest
pob,parent over back
poc,piece of crap
wtfhb,what the fucking hell bitch
kay,okay
showin,showing
lmaorof,laughing my ass off rolling on the floor
lata,later
tysvm,thank you so very much
waycb,when are you coming back
rflmao,rolling on the floor laughing my ass off
6y,sexy
idrts,i don't really think so
g2gb2wn,got to go back to work now
pwner,owner
admin,administrator
ycntu,why cant you?
pwned,made to look bad
ysati,you suck at the internet
nethin,anything
wthiwwu,what the hell is wrong with you
sellin,selling
bowt,about
m&d,mom and dad
for sheeze,for sure
mutha,mother
nk,no kidding
cptn,captain
ttyotp,talk to you on the phone
yhl,you have lost
yhm,you have mail
prncpl,principal
yn,why not
m.i.a,missing in action
nsfmf,not so fast my friend
tiw,teacher is watching
iwhi,i would hit it
igahp,i've got a huge penis
ihtp,i have to poop
tis,is
pachs,parents are coming home soon
tfln,thanx for last night
ikwyl,i know where you live
blog,web log
beatch,bitch
ymislidi,you make it sound like i did it
deets,details
tif,this is fun
wbu,what about you
wbs,write back soon
wbp,welcome back partner
2maro,tomorrow
tia,thanks in advance
wbb,will be back
tolol,thinking of laughing out loud
taunch,te amo un chingo
crzy,crazy
ihnfc,i have no fucking clue
y w,you're welcome
m/b,maybe
aoys,angel on your shoulder
xing,crossing
vzn,verizon
2b,to be
txting,texting
bbn,be back never
lmfao,laughing my fucking ass off
lolrotf,laughing out loud rolling on the floor
lmclao,laughing my cute little ass off
?u@,where are you?
ok,okay
oj,orange juice
og,original gangster
oe,or else
od,over dose
onoz,oh no
tnlnsl,took nothing left nothing signed log
ilysfmb,i love you so fucking much baby
ot,off topic
os,operating system
yaw,you are welcome
op,operator
gfy,good for you
coiwta,come on i wont tell anyone
code 9,parents are watching
code 8,parents are watching
mngr,manager
scrt,secret
sthing,something
crunk,combination of crazy and drunk
a$$,ass
gokid,got observers - keep it decent
ictrn,i can't talk right now
b1tch,bitch
bbz,babes
ilysvm,i love you so very much
lmaool,laughing my ass off out loud
jus,just
simcl,sitting in my chair laughing
juz,just
fumfer,fuck you mother fucker
gfj,good fucking job
sbrd,so bored
wtfigoh,what the fuck is going on here
piccies,pictures
pmitap,pound me in the ass prison
cbb,can't be bothered
cba,can't be arsed
cbf,cant be fucked
cbi,can't believe it
wyhswm,would you have sex with me
omgwtf,"on my god, what the fuck"
ssry,so sorry
igu,i give up
igt,i got this
igs,i guess so
btdtgtts,"been there, done that, got the t-shirt"
ulbom,you looked better on myspace
igg,i gotta go
besos,kisses
mf2f4sx,meet face to face for sex
hwk,homework
hwg,here we go
lolwtime,laughing out loud with tears in my eyes
ptbb,pass the barf bag
hwz,how is
hwu,hey what's up
srry,sorry
lysm,love you so much
l84skool,late for school
lwih,look what i have
rofl&pmp,rolling on floor laughing and peeing my pants
pto,personal time off
ptl,praise the lord
dr00d,druid
kthxbye,"ok, thank you, goodbye"
kicks,sneakers
ptw,play to win
j-c,just chilling
wassup,what's up?
init,isn't it
fap,masturbate
faq,frequently asked question
fav,favorite
ligaff,like i give a flying fuck
roflmaowpimp,rolling on floor laughing my ass off while peeing in my pants
fah,funny as hell
fao,for attention of
fam,family
fab,fabulous
ligafs,like i give a flying shit
faa,forever and always
llh,laughing like hell
teh,the
lu2d,love you to death
slore,shitty whore
idts,i don't think so
9009l3,google
nba,national basketball association
nbf,never been fucked
nbd,no big deal
sul,see you later
suk,suck
sut,see you tomorrow
sus,see you soon
sup,what's up
kyag,kiss your ass goodbye
sux,sucks
du2h,damn you to hell
gr8t,great
ltywl,love the way you lie
lylafklc,love you like a fat kid loves cake
psos,parent standing over sholder
sbc,sorry bout caps
nfbsk,not for british school kids
d.w,don't worry
dontcha,don't you
lttpot,laughing to the point of tears
sbd,silent but deadly
mabe,maybe
dttm,don't talk to me
lmaowrotf,laughing my ass of while rolling on the floor
dgaf,don't give a fuck
dgac,don't give a crap
rotflmaostc,rolling on the floor laughing my ass off scaring the cat
shite,shit
dgas,don't give a shit
mirl,meet in real life
h/e,however
h/o,hold on
wdhlm,why doesnt he love me?
h/w,homework
h/u,hold up
tbnt,thanks but no thanks
n00s,news
oyr,oh yeah right
oyo,on your own
rbau,right back at you
rbay,right back at you
roflmbfao,rolling on floor laughing my big fat ass off
aaaaa,american assosciation against acronym abuse
kitteh,kitten
lhs,lets have sex
fka,formerly known as
u/n,username
u/l,upload
ysic,why should i care
cheezburger,cheeseburger
xmpl,example
liekz,likes
efffl,extra friendly friends for life
alrite,alright
omwh,on my way home
kthnxbye,"okay, thanks, bye"
bout,about
imnshmfo,in my not so humble mother fucking opinion
mayte,mate
ynm,"yes, no, maybe"
mbl8r,maybe later
l8ta,later
somadn,sitting on my ass doing nothing
4got,forgot
yng,young
ifwis,i forgot what i said
fku,fuck you
isfly,i so fucking love you
l8tr,later
ynt,why not
roglmfao,rolling on ground laughing my fucking ass off
ynw,you know what
gui,graphical user interface
yrms,you rock my socks
hpybdy,happy birthday
wbrb,will be right back
pwnt,owned
prolly,probably
lolf,lots of love forever
lold,laughed out loud
b.s.,bullshit
loln,laught out loud... not
lolm,laugh out loud man
pwnz,owns
lols,laugh out loud
pwnd,owned
lolq,laugh out loud quietly
lolz,laugh out loud
sk8r,skater
figmo,f*ck it - got my orders
tmaai,tell me all about it
omgukk,oh my god you killed kenny
gfus,go fuck yourself
wlc,welcome
fcol,for crying out loud
jwas,just wait a second
yermom,your mother
dfo,dumb fucking operator
gpb,gotta pee bad
bzzy,busy
esad,eat shit and die
wudn,what you doing now
buhbi,bye bye
brbg2p,"be right back, got to pee"
jtay,just thinking about you
nnaa,no not at all
jsut,just
jsuk,just so you know
dttpou,don't tell the police on us
jsun,just so you know
urafb,you are a fucking bitch
ikwum,i know what you meant
avsb,a very special boy
jsa,just stop already
gilf,grandma i'd like to fuck
tuvm,thank you very much
jst,just
kmhba,kiss my hairy big ass
mmtyh,my mom thinks you're hot
ntrly,not really
tgfitw,the greatest fans in the world
g/g,got to go
g/f,girlfriend
stff,stuff
rtg,ready to go
stfd,sit the fuck down
rta,read the article
rtm,read the manual
rtl,report the loss
fone,phone
stfw,search the fucking web
stfu,shut the fuck up
rts,real-time strategy
rtr,read the rules
iw2f,i want to fuck
bfg,big fucking gun
bff,best friend forever
bfe,bum fuck egypt
bfd,big fucking deal
bfh,bitch from hell
bfn,bye for now
bfs,boyfriends
bft,big fucking tits
hiw,husband is watching
idw2n,i don't want to know
cotf,crying on the floor
cotm,check out this myspace
cd9,code 9 (other people nearby)
syl8r,see you later
plse,please
tws2wa,that was so 2 weeks ago
t/a,try again
pvp,player versus player
pvt,pervert
f.b.,facebook
iccl,i could care less
wlkd,walked
bibi,bye bye
fgt,faggot
fgs,for god's sake
fgi,fucking google it
c,see
f2f,face to face
stfuogtfo,shut the fuck up or get the fuck out.
f2p,free to play
f2t,free to talk
sifn't,as if not
ayfr,are you for real
ayfs,are you fucking serious
ayfk,are you fucking kidding
mtherfker,mother fucker
pp,pee pee
duk,did you know
swm,single white male
pw,parent watching
dun,don't
pz,peace
swf,single white female
pb,peanut butter
pf,profile
pg,page
pk,player kill
swt,sweet
pl,parent looking
ifhy,i fucking hate you
knewb,new player
ifhu,i fucking hate you
hlysht,holy shit
phuck,fuck
mypl,my young padawan learner
wtfrudoin,what the fuck are you doing
lpiaw,large penis is always welcome
stys,speak to you soon
wauw,what are you wearing
peoples,people
yafi,you're a fucking  idiot
iateu,i hate you
byak,blowing you a kiss
hagd,have a good day
hagl,have a great life
hagn,have a good night
hago,have a good one
hags,have a great summer
wdywtta,what do you want to talk about
mtfbwy,may the force be with you
myspce,myspace
mtfbwu,may the force be with you
hsik,how should i know
gemo,gay emo
vzit,visit
ppppppp,prior proper planning prevents piss poor performance
kthx,"ok, thank you"
kthz,ok thanks
lfnar,laughing for no aparent reason
shuddup,shut up
idkwurta,i don't know what you are talking about.
f/o,fuck off
igtg,i've got to go
bm&y,between you and me
srzly,seriously
pron,porn
prod,product
prob,problem
s/b,should be
j2lyk,just to let you know
orly,oh really?
ily4ev,i love you forever
mmamp,meet me at my place
ylb,you little bitch
wanna,want to
imfo,in my fucking opinion
hawtie,hottie
gtgtwn,got to go to work now
tb4u,too bad for you
4rm,from
bruz,brothers
bruv,brother
xoxo,hugs and kisses
wrgad,who really gives a damn
blkm,black male
bruh,brother
cul83r,see  you later
xpt,except
wna,want to
l4m3rz,lamers
ihtsm,i hate this so much
wnt,want
tl;dr,too long; didn't read
asaik,as soon as i know
4ever,forever
bbfu,be back for you
tcfc,too close for comfort
tcfm,too cool for me
w8am,wait a minute
mlod,mega laugh out loud of doom
gdiaf,go die in a fire
lolcano,laugh out loud
2da,to the
grl,girl
idrgaf,i don't really give a fuck
nmnhnlm,"no money, no honey, nobody loves me"
sibir,sibling in room
sexii,sexy
ttiuwiop,this thread is useless without pics
bcoz,because
w012d,word
gr8,great
gndn,"goes nowhere,does nothing"
ef-ing,fucking
lmbao,laughing my black ass off
gank,kill
haxzor,hacker
nvrm,nevermind
yysw,"yeah, yeah, sure, whatever"
fwiw,for what it's worth
1daful,wonderful
idtkso,i don't think so
wwtf,what was that for
wau^2,what are you up to?
congrats,congratulations
cfm,come fuck me
pleaz,please
rrb,restroom break
4ward,forward
folo,follow
4tlog,for the love of god
sexc,sexy
sexe,sexy
iois,indicators of interest
sexi,sexy
ilms,i love my self
ilml,i love my life
poscs,parents over sholder change subject
wadzup,what's up?
mmbocmb,message me back or comment me back
iykwim,if you know what i mean
dygtp,did you get the picture
ducy,do you see why
pxr,punk rocker
app,application
apu,as per usual
api,application program interface
motos,member of the opposite sex
usd,united states dollar
cilf,child i'd like to fuck
ilylabf,i love you like a best friend
inef,it's not even funny
u iz a 304,you is a hoe
gnite,good night
inet,internet
lolerz,laugh out loud
pwnage,ownage
suxx,sucks
*eg*,evil grin
pfos,parental figure over sholder
sorg,straight or gay
ih8tu,i hate you
wtii,what time is it
aufsm,are you fucking shiting me
aight,alright
idrc,i don't really care
tat,that
tau,thinking about you
aydy,are you done yet
tay,thinking about you
asshle,asshole
irly,i really love you
0vr,over
tal,thanks a lot
tai,think about it
gjial,go jump in a lake
sis,sister
grfx,graphics
dwt,don't wanna talk
guru,expert
jfdi,just fucking do it!
dwy,don't wet yourself
dwb,driving while black
sig,signature
sif,as if
dwi,deal with it
81tc#,bitch
gurl,girl
taci,that's a crappy idea
rcvd,received
pooter,computer
lezbo,lesbian
ru18,are you 18
idkbibt,i don't know but i've been told
iygm,if you get me
gttp,get to the point
becuse,because
l8ter,later
jwtlyk,just wanted to let you know
rotflaviab,rolling on the floor laughing and vomiting in a bucket
2h2h,too hot to handle
nmjdhw,nothing much just doing homework
crakalakin,happening
yhpm,you have a private messge
tstoac,too stupid to own a computer
catwot,complete and total waste of time
wrgaf,who really gives a fuck?
nff,not fucking fair
tisc,that is so cool
nfc,no fucking clue
tisg,this is so gay
nfi,no fucking idea
nfw,no fucking way
tiss,this is some shit
nfs,not for sale
nfr,not for real
bttt,"been there, tried that"
tisw,that is so wrong
hpoa,hot piece of ass
eabod,eat a bag of dicks
jtwii,just the way it is.
sitmf,say it to my face
wtfbs,what the fuck bull shit
fua,fuck you all
aatw,all around the world
aatf,always and totally forever
ktfo,knocked the fuck out
fubohic,fuck you bend over here it comes
vleo,very low earth orbit
rtffp,read the fucking front page
ykwim,you know what i mean
rtard,retard
ih2p,i'll have to pass
ltr,later
ltp,lay the pipe
ltw,lead the way
ltb,looking to buy
hhok,ha ha only kidding
fyfi,for your fucking information
tysm,thank you so much
ltm,listen to me
ttul,talk to you later
ttus,talk to you soon
ttut,talk to you tomorrow
ugtr,you got that right
av7x,avenged sevenfold
drood,druid
siao,school is almost over
beezy,bitch
bwim,by which i mean
ybs,you'll be sorry
g4u,good for you
g4y,good for you
roflkmd,rolling on the floor laughing kicking my dog
wdwgw,where did we go wrong
pking,player killing
irdk,i really don't know
irdc,i really don't care
ymgtc,your mom goes to college
tfft,thank fuck for that
tldr,"too long, didn't read."
tffw,too funny for words
^5,high five
ahole,asshole
whf,wanna have fun?
sol,shit outta luck
wha,what?
werkz,works
gcad,get cancer and die
ead,eat a dick
wht,what
tgwig,thank god wife is gone
whr,where
whs,wanna have sex
b4ul,before you leave
wswta,what shall we talk about?
b4ug,before you go
tdtm,talk dirty to me
ho,hold on
ilysmydek,i love you so much you don't even know
2trd,too tired
bbwe,be back whenever
suxxor,sucks
bbwb,best buddy with boobs
bbwl,be back way later
osifgt,oh shit i forgot
2morrow,tommorrow
mtrfkr,motherfucker
lemme,let me
2bh,to be honest
phucker,fucker
aiic,as if i care
aiid,and if i did
cubi,can you believe it
jw2k,just wanted to know
qq,crying eyes
qt,cutie
ritjive,non virgin
bbialb,be back in a little bit
ql,cool
simclmao,sitting in my chair laughing my ass off
beeoch,bitch
arsed,bothered
swakaah,sealed with a kiss and a hug
dlf,dropping like flies
dln,don't look now
h8red,hatred
i <3 u,i love you
hb4b,hoes before bros
p2w,pay to win
p2p,peer to peer
jom,just one minuite
joo,you
tchbo,topic creater has been owned
stby,sucks to be you
stbx,soon to be ex
idjit,idiot
rpg,role playing game
rpo,royally pissed off
cw2cu,can`t wait to see you
bbm,blackberry messenger
bbl,be back later
bbk,"be back, ok?"
bbi,baby
bbg,baby girl
bbf,best boy friend
bbe,baby
bleve,believe
bby,baby
bbw,be back whenever
bbt,be back tomorrow
bbs,be back soon
bbq,be back quick
bbp,banned by parents
hdop,help delete online predators
hmu,hit me up
hmw,homework
hml,hate my life
m$wxp,microsoft windows xp
hmb,hold me back
h8s,hates
h8r,hater
h8u,i hate you
h8t,hate
lmtus,let me tell you something
newayz,anyways
avy,avatar
neways,anyways
pewp,poop
refl,rolling on the floor laughing
smofo,stupid mother fucker
fkn,fucking
geto,ghetto
cing,seeing
wlos,wife looking over shoulder
fkd,fucked
noe,know
gnight,good night
penor,penis
yooh,you
qoolz,cool
fmth,fuck me to hell
wtharud,what the heck are you doing
arse,ass
ltnsoh,"long time, no see or hear"
mfa,mother fucking asshole
mfb,mother fucking bitch
mfg,merge from current
tcp,transmission control protocol
mfr,motherfucker
mfw,my face when
tcg,trading card game
